Generation,Max_Score,Avg_Score,max_fitness,Avg_fitness
252.0,80,25.158,61685890.46064563,18499628.358206294
253.0,85,27.314,61711169.612636335,20745581.22987926
254.0,90,28.726,60740590.853905305,22167894.64380408
255.0,85,23.9,55688883.91858645,17800671.484891277
256.0,76,23.646,59703637.447823495,17355436.542269725
257.0,77,26.0,61690902.4479357,19467968.448359255
258.0,90,25.942,60689525.24491334,19599918.11530092
259.0,82,26.594,62705946.14133382,20134353.826382376
260.0,88,23.966,57733200.266134396,17576432.90312787
261.0,81,23.818,56693762.22560313,17479173.82728214
262.0,98,25.926,61726609.029779054,19317429.596998725
263.0,83,24.804,59694389.95684583,18420961.305725705
264.0,88,25.052,60691740.69174069,18467994.692937516
265.0,80,25.004,60688358.09667105,18488842.32987952
266.0,98,26.102,59688314.21349407,19397674.63241955
267.0,98,25.6,61728007.69971126,19036704.539228808
268.0,91,26.134,61706255.835667595,19477021.995149106
269.0,98,27.244,65712033.19502075,20377001.90988861
270.0,98,24.458,59716454.15907711,17920026.815291
271.0,84,27.488,64721220.52704577,20682436.687355265
272.0,86,26.674,62750576.47963105,20053850.974656694
273.0,98,28.26,65721129.60161371,21358570.175885987
274.0,92,25.788,63705264.99912542,18975345.721474633
275.0,81,26.642,63682233.50253807,19921927.612169147
276.0,98,28.578,62756830.071691535,21858934.994173113
277.0,98,28.926,66706728.46412019,21737186.875623874
278.0,98,28.362,67688217.5226586,21255015.780048806
279.0,98,28.33,63710735.06081439,21448876.153382298
280.0,89,27.804,66771054.925893635,20890885.248859957
281.0,83,30.282,66723021.58273381,23460337.582035664
282.0,98,27.518,63714766.88530403,20584213.854116734
283.0,98,29.276,67723404.25531915,22080670.524692874
284.0,91,29.674,66687820.81194587,22722770.684869375
285.0,98,28.414,66674393.777642205,21370674.205588806
286.0,89,26.244,63736438.35616439,19366752.90187158
287.0,92,28.57,66730064.38831105,21524578.872623015
288.0,92,29.46,66743568.18563981,22389480.65027542
289.0,97,29.048,66711848.03605924,21866983.363300074
290.0,85,29.858,67687905.78287785,22855822.87855605
291.0,98,28.044,66709905.28174667,20934242.047752887
292.0,98,28.756,66692235.44145273,21945672.51098644
293.0,95,29.75,67732829.33890945,22608972.58350829
294.0,97,28.288,66738600.300651416,21211133.77505218
295.0,96,26.7,66734307.53902358,19599755.480115276
296.0,98,28.284,65722830.665543385,21176128.900214955
297.0,98,28.746,65712861.41575274,21795877.225918207
298.0,98,28.336,67701462.66358738,21039425.70499967
299.0,94,26.384,63761041.90260476,19460044.26543019
300.0,98,28.424,66697696.43420638,21286449.90487718
301.0,98,30.414,69726315.78947368,23288406.871073466
